CODGEO,NB,ANNEE
01001,39.301459045,2017
01001,149.704178496217,2022
01002,30.0357736244161,2022
01002,31.637860082,2017
01004,826.32876521,2017
01004,906.15414121094,2022
01005,15.767258311,2017
01005,3.09831511542004,2022
01006,22.2,2017
01006,4.95614035087719,2022
01007,125.350119185904,2022
01007,1.946953405,2017
01008,166.600759837054,2022
01008,68.725827815,2017
01009,15.277777778,2017
01009,50.919839001849,2022
01010,143.0,2017
01010,8.50513795796119,2022
01011,73.0,2017
01011,21.8529952437913,2022
01012,1.0,2017
01012,1.99252505560428,2022
01013,0.0,2017
01013,22.4782608695652,2022
01014,205.0,2017
01014,250.986160067312,2022
01015,31.3820368659247,2022
01015,54.744976816,2017
01016,57.213075851,2017
01016,71.0820026611797,2022
01017,0.0,2017
01017,35.8690025063845,2022
01019,1.0,2022
01019,7.0,2017
01021,8.14560434719009,2022
01021,261.45906433,2017
01022,209.78354081,2017
01022,13.0039910125182,2022
01023,0.0,2017
01023,12.1578947368421,2022
01024,3.0,2017
01024,8.78623088031046,2022
01025,30.186101775,2017
01025,6.09688789714026,2022
01026,83.068413392,2017
01026,160.981903077895,2022
01027,8.8550925813,2017
01027,4.32981166679122,2022
01028,72.7418798924353,2022
01028,4.098231181,2017
01029,129.929183228346,2022
01029,24.0,2017
01030,0.0,2017
01030,5.2354437790473,2022
01031,146.389620707953,2022
01031,461.0,2017
01032,151.02799117,2017
01032,17.4203445407531,2022
01033,2785.15687780015,2022
01033,1987.6402168,2017
01034,58.1422372043975,2022
01034,25.407934881,2017
01035,57.0763601803556,2022
01035,21.59010894,2017
01036,206.676255392676,2022
01036,4.0418634437,2017
01037,36.526994868,2017
01037,14.220778061219,2022
01038,1.0167306824,2017
01038,1.97018243411557,2022
01039,77.887133183,2017
01040,54.256836521,2017
01040,72.2459648880976,2022
01041,124.49932886,2017
01041,0.946726824267681,2022
01042,54.5805374351431,2022
01042,1.0108695652,2017
01043,691.75162519,2017
01043,788.701638882156,2022
01044,65.2977374642637,2022
01044,62.987341772,2017
01045,32.7087136941289,2022
01045,62.441281139,2017
01046,5.11909631420921,2022
01046,0.0,2017
01047,11.2005374791697,2022
01047,64.430743638,2017
01049,2.00502513892502,2022
01049,392.75094817,2017
01050,71.4627771976373,2022
01050,0.0,2017
01051,7.0,2017
01051,16.6019417475728,2022
01052,28.2426682622525,2022
01052,58.0,2017
01053,280.94825427,2017
01053,330.841219403654,2022
01054,3.8834399431,2017
01054,1.09802960406441,2022
01056,67.0,2017
01056,36.8280523309009,2022
01057,44.7527215338799,2022
01057,1.0365029137,2017
01058,1.98205257180781,2022
01058,106.39617573,2017
01060,38.8655469466612,2022
01060,30.0,2017
01061,9.1074617989,2017
01061,97.0838816175777,2022
01062,3.9140708915,2017
01062,198.84608329402,2022
01063,21.940437288,2017
01063,8.66209549590351,2022
01064,12.348349068,2017
01064,3.05243491661667,2022
01065,349.706419894421,2022
01065,332.40397351,2017
01066,12.8089887640449,2022
01066,2.595505618,2017
01067,3.01657804039644,2022
01067,33.866666667,2017
01068,3.0038305886,2017
01068,4.01296464529167,2022
01069,128.337975451177,2022
01069,1.0099866844,2017
01071,491.0,2017
01071,38.6430812860064,2022
01072,137.341091683423,2022
01072,2.9795865522,2017
01073,11.043868395,2017
01073,1.73943763364584,2022
01074,1.01755773352993,2022
01074,14.349444044,2017
01075,10.467004287,2017
01075,2.00969188258197,2022
01076,36.0,2017
01076,6.72868217054264,2022
01077,25.129533679,2017
01077,1.02162162162162,2022
01078,98.879728438,2017
01078,149.56088024525,2022
01079,208.933125815809,2022
01079,157.80323369,2017
