codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
86296;334;55;19;116;60;38;26;20
86297;4325;649;198;1135;821;627;469;427
86298;1578;352;63;502;273;170;124;94
86299;426;88;22;134;85;54;21;23
86300;358;37;18;97;78;67;38;24
87001;4539;970;309;1166;752;556;471;315
87002;4308;1106;262;1339;696;440;273;191
87003;779;206;50;281;115;54;46;27
87004;88;21;3;12;26;3;15;8
87005;764;85;33;208;184;113;81;61
87006;222;75;13;51;48;18;15;3
87007;166;51;11;54;29;7;9;6
87008;111;29;3;45;22;7;3;2
87009;122;30;9;32;26;6;13;6
87011;3197;994;220;938;516;226;178;125
87012;333;103;15;112;53;29;21;1
87013;484;124;31;146;84;39;30;30
87014;2225;659;145;684;334;191;132;79
87015;477;59;30;96;106;92;57;37
87016;225;58;4;81;43;21;12;6
87017;376;79;19;119;77;36;29;17
87018;558;118;38;170;106;39;55;32
87019;2134;297;132;596;402;330;221;156
87020;1225;172;49;394;245;165;112;88
87021;1925;290;91;547;356;300;195;147
87022;104;10;10;47;20;10;3;4
87023;149;35;11;43;30;17;8;7
87024;724;289;50;183;86;48;45;24
87025;603;83;30;175;122;93;61;39
87027;1126;306;54;345;222;79;68;52
87028;1440;495;98;409;226;80;83;50
87029;507;149;53;116;88;58;26;19
87030;936;167;49;354;177;109;53;27
87031;264;49;20;93;46;22;14;19
87032;1348;501;101;342;200;99;58;47
87033;594;121;36;197;131;60;37;12
87034;478;120;27;164;76;49;28;14
87035;415;110;19;120;84;35;33;14
87036;540;127;37;172;98;51;40;15
87037;220;67;20;58;25;20;14;17
87038;1532;226;99;436;302;222;144;103
87039;633;136;28;165;132;73;64;34
87040;1280;464;78;343;204;98;53;40
87041;1671;469;121;514;279;131;105;52
87042;308;55;10;118;78;20;22;5
87043;149;33;10;41;31;15;13;6
87044;291;100;19;68;53;24;17;10
87045;763;174;50;230;133;84;44;47
87046;880;173;42;267;182;91;77;49
87047;1361;205;67;461;259;175;121;73
87048;3754;626;232;1011;677;525;347;336
87049;1092;312;70;314;174;109;64;49
87050;6868;1263;556;1819;1238;826;654;512
87051;537;149;38;139;105;35;43;28
87052;148;39;3;51;31;13;8;4
87053;198;54;7;78;30;12;12;5
87054;1017;365;75;286;143;69;40;38
87056;229;60;8;87;37;23;8;5
87057;304;92;25;81;52;22;18;14
87058;103;33;4;26;27;7;6;1
87059;1477;640;87;383;190;59;83;35
87060;529;164;24;144;80;45;41;30
87061;295;90;14;101;55;11;16;8
87062;304;37;15;102;63;35;31;21
87063;920;111;40;295;194;125;94;61
87064;1706;474;129;424;317;110;137;116
87065;4589;853;262;1227;864;537;494;351
87066;805;199;51;265;131;67;57;34
87067;413;108;21;140;80;31;22;12
87068;427;99;37;140;73;32;29;17
87069;114;24;4;34;25;9;10;7
87070;695;137;27;199;140;81;69;42
87071;631;149;44;218;108;59;35;18
87072;394;61;31;116;77;53;32;22
87073;316;63;16;97;65;32;21;22
87074;210;46;23;75;36;8;11;11
87075;5868;1062;396;1367;920;726;703;694
87076;186;26;13;55;32;28;17;15
87077;395;66;21;127;87;36;38;19
87078;520;125;25;155;105;52;32;26
87079;622;145;54;194;114;65;28;21
87080;156;55;11;57;17;5;9;2
87081;799;118;41;226;159;119;90;46
87082;963;301;78;250;159;70;62;44
87083;472;170;28;151;61;30;19;13
87084;123;18;6;41;31;12;12;4
87085;93357;21255;6590;21130;15459;9815;9769;9339
87086;810;234;43;245;141;82;45;20
87087;459;192;38;118;54;24;19;14
87088;855;248;45;253;138;87;48;36
87089;1444;594;86;409;207;72;42;35
87090;224;82;13;71;33;9;11;5
87091;345;115;21;98;63;26;18;4
87092;484;134;26;103;70;59;56;36
87093;223;49;25;67;43;22;13;2
87094;363;36;16;104;70;61;46;30
87095;618;168;50;171;107;68;35;20
87096;654;146;43;191;134;51;57;33
87097;913;297;61;295;120;68;43;28
87099;275;69;15;86;44;24;23;14
87100;228;56;11;67;36;31;12;15
87101;93;26;8;27;10;11;4;9
87103;1247;301;85;434;192;121;63;50
87104;389;89;33;123;71;22;27;23
87105;766;245;69;236;106;63;35;13
87106;1975;454;157;517;357;255;132;103
87107;1263;202;120;342;248;175;102;74
87108;397;132;20;125;60;23;15;22
87109;284;88;16;79;67;17;8;9
87110;1844;462;118;520;348;200;125;71
87111;1266;416;65;403;191;75;67;50
87112;478;162;33;138;63;36;30;15
87113;4572;1036;301;1429;755;479;344;228
87114;8498;1615;693;2170;1457;922;896;746
87115;153;52;9;29;33;10;11;8
87116;873;250;62;317;129;56;46;15
87117;848;238;53;278;110;73;60;36
87118;950;178;41;336;182;118;59;35
87119;893;230;51;218;174;86;74;60
87120;419;95;36;140;60;46;19;23
87121;414;132;36;119;64;25;23;14
87122;889;174;48;287;186;99;56;40
87123;128;34;12;27;26;12;9;6
87124;295;54;21;91;64;20;30;15
87125;3404;548;268;1024;665;409;276;214
87126;3043;780;272;1008;496;218;161;109
87127;489;119;32;143;92;48;30;25
87128;1014;197;45;308;207;115;100;43
87129;694;118;52;210;150;79;53;32
87130;140;45;3;42;24;13;11;2
87131;666;248;31;219;99;44;13;12
87132;93;23;8;24;23;8;1;6
87133;424;137;22;135;68;31;19;13
87134;132;31;9;36;19;11;19;6
87135;751;199;35;209;148;74;54;32
87137;100;36;5;29;16;8;6;1
87138;437;85;20;107;84;64;47;30
87139;402;149;16;128;48;21;28;11
87140;1243;289;71;388;204;148;104;38
87141;538;119;34;165;103;59;36;21
87142;422;85;22;117;76;57;35;29
87143;1542;208;71;439;313;255;144;112
87144;375;65;15;109;73;56;38;18
87145;203;64;18;65;35;8;4;9
87146;931;259;61;257;141;92;75;46
87147;40;8;1;14;9;4;0;5
87148;707;113;36;180;140;95;89;54
87149;310;80;19;90;66;27;19;9
87150;686;151;48;230;102;72;55;28
87151;382;84;15;92;93;54;23;20
87152;1227;230;75;386;234;161;92;48
87153;241;43;26;73;45;27;14;15
87154;8881;2748;516;2498;1447;685;617;370
87155;149;31;6;47;17;17;17;14
87156;1902;288;96;516;355;301;175;172
87157;647;118;26;221;111;76;59;36
87158;1162;356;68;336;189;125;55;33
87159;273;58;14;79;49;31;21;23
87160;431;155;30;112;71;27;25;11
87161;3669;1084;303;943;557;319;274;189
87162;156;35;9;40;32;23;10;7
87163;119;40;7;29;29;6;4;5
87164;425;74;24;149;81;51;34;13
87165;106;37;5;34;19;5;4;2
87166;670;123;23;207;131;77;69;39
87167;422;80;24;121;77;59;31;30
87168;917;245;48;297;183;67;46;30
87169;710;105;35;227;133;125;62;24
87170;279;90;19;76;47;19;14;15
87172;178;48;6;55;25;18;16;10
87174;940;154;51;244;197;134;97;62
87176;511;88;22;144;98;64;43;51
87177;1279;240;79;366;239;191;99;65
87178;2204;379;129;713;450;262;162;110
87179;198;60;13;56;43;12;9;3
87180;523;133;32;164;116;32;29;18
87181;667;213;43;198;99;53;32;29
87182;1028;299;59;339;185;73;52;22
87183;678;114;34;189;142;91;57;50
87185;1321;281;79;401;221;157;115;66
87186;269;66;14;62;50;32;30;15
87187;5636;1855;430;1554;826;402;342;228
87188;321;48;17;84;56;38;45;34
87189;124;44;4;35;26;2;7;6
87190;736;223;53;248;123;38;29;22
87191;1472;304;104;445;282;175;100;61
87192;1165;190;55;312;199;168;127;115
87193;38;9;3;11;4;9;0;2
87194;296;83;19;78;59;21;22;14
87195;116;39;5;31;24;5;7;5
87197;411;55;22;152;78;53;40;12
87198;313;72;15;104;65;30;20;6
87199;641;206;28;214;104;34;40;15
87200;107;29;6;34;22;9;2;5
87201;3524;441;217;848;627;583;453;355
87202;1516;194;85;410;311;189;177;149
87203;973;207;46;249;175;128;95;72
87204;190;67;13;63;26;8;8;6
87205;1622;247;104;442;276;245;178;130
87206;135;41;6;43;27;6;9;4
88001;46;15;2;13;9;4;1;2
88002;48;6;0;23;4;10;3;2
88003;48;22;4;10;9;2;1;1
88004;116;25;18;44;9;14;2;4
