CodeCommune;NomCommune;Année;NombreCrimes;Population
1071;Cessy;2017;19344.0;4856.0
1071;Cessy;2022;37149.0;5570.0
1072;Ceyzériat;2017;15690.0;3157.0
1072;Ceyzériat;2022;13140.0;3306.0
1073;Ceyzérieu;2017;2024.0;1007.0
1073;Ceyzérieu;2022;2976.0;1028.0
1074;Chalamont;2017;9624.0;2451.0
1074;Chalamont;2022;15354.0;2544.0
1075;Chaleins;2017;5184.0;1342.0
1075;Chaleins;2022;7150.0;1436.0
1076;Chaley;2017;1233.0;130.0
1076;Chaley;2022;1116.0;127.0
1077;Challes-la-Montagne;2017;1737.0;194.0
1077;Challes-la-Montagne;2022;1890.0;185.0
1078;Challex;2017;5800.0;1481.0
1078;Challex;2022;3238.0;1628.0
1079;Champagne-en-Valromey;2017;4950.0;820.0
1079;Champagne-en-Valromey;2022;6608.0;826.0
1080;Champdor-Corcelles;2017;4599.0;651.0
1080;Champdor-Corcelles;2022;3225.0;655.0
1081;Champfromier;2017;6561.0;729.0
1081;Champfromier;2022;2154.0;709.0
1082;Chanay;2017;2532.0;625.0
1082;Chanay;2022;1848.0;595.0
1083;Chaneins;2017;6286.0;910.0
1083;Chaneins;2022;4012.0;1041.0
1084;Chanoz-Châtenay;2017;5831.0;844.0
1084;Chanoz-Châtenay;2022;4655.0;943.0
1085;La Chapelle-du-Châtelard;2017;3483.0;388.0
1085;La Chapelle-du-Châtelard;2022;3546.0;391.0
1087;Charix;2017;1425.0;285.0
1087;Charix;2022;1674.0;280.0
1088;Charnoz-sur-Ain;2017;3692.0;913.0
1088;Charnoz-sur-Ain;2022;4490.0;925.0
1089;Château-Gaillard;2017;12480.0;2138.0
1089;Château-Gaillard;2022;13722.0;2408.0
1090;Châtenay;2017;1665.0;341.0
1090;Châtenay;2022;2520.0;358.0
1092;Châtillon-la-Palud;2017;4722.0;1584.0
1092;Châtillon-la-Palud;2022;3298.0;1675.0
1093;Châtillon-sur-Chalaronne;2017;39088.0;4859.0
1093;Châtillon-sur-Chalaronne;2022;40472.0;5154.0
1094;Chavannes-sur-Reyssouze;2017;4500.0;753.0
1094;Chavannes-sur-Reyssouze;2022;3835.0;746.0
1095;Nivigne et Suran;2017;3220.0;814.0
1095;Nivigne et Suran;2022;5824.0;822.0
1096;Chaveyriat;2017;4024.0;1008.0
1096;Chaveyriat;2022;4144.0;1057.0
1098;Chazey-Bons;2017;4316.0;1112.0
1098;Chazey-Bons;2022;4752.0;1165.0
1099;Chazey-sur-Ain;2017;4539.0;1514.0
1099;Chazey-sur-Ain;2022;9600.0;1613.0
1100;Cheignieu-la-Balme;2017;1224.0;134.0
1100;Cheignieu-la-Balme;2022;1310.0;130.0
1101;Chevillard;2017;1683.0;151.0
1101;Chevillard;2022;2100.0;149.0
1102;Chevroux;2017;5742.0;952.0
1102;Chevroux;2022;3892.0;981.0
1103;Chevry;2017;6572.0;1812.0
1103;Chevry;2022;9044.0;2301.0
1104;Chézery-Forens;2017;2760.0;467.0
1104;Chézery-Forens;2022;1780.0;436.0
1105;Civrieux;2017;8030.0;1680.0
1105;Civrieux;2022;3832.0;1986.0
1106;Cize;2017;1360.0;173.0
1106;Cize;2022;1408.0;175.0
1107;Cleyzieu;2017;1350.0;136.0
1107;Cleyzieu;2022;1540.0;144.0
1108;Coligny;2017;4748.0;1181.0
1108;Coligny;2022;4908.0;1294.0
1109;Collonges;2017;6669.0;2219.0
1109;Collonges;2022;8996.0;2260.0
1110;Colomieu;2017;1441.0;140.0
1110;Colomieu;2022;1304.0;164.0
1111;Conand;2017;1560.0;124.0
1111;Conand;2022;1485.0;136.0
1112;Condamine;2017;2484.0;411.0
1112;Condamine;2022;3311.0;477.0
1113;Condeissiat;2017;5775.0;822.0
1113;Condeissiat;2022;3260.0;815.0
1114;Confort;2017;3100.0;648.0
1114;Confort;2022;4795.0;676.0
1115;Confrançon;2017;6655.0;1336.0
1115;Confrançon;2022;2696.0;1357.0
1116;Contrevoz;2017;4000.0;499.0
1116;Contrevoz;2022;1972.0;489.0
1117;Conzieu;2017;1314.0;148.0
1117;Conzieu;2022;1341.0;148.0
1118;Corbonod;2017;3765.0;1264.0
1118;Corbonod;2022;5184.0;1315.0
1121;Corlier;2017;1017.0;114.0
1121;Corlier;2022;585.0;116.0
1123;Cormoranche-sur-Saône;2017;1118.0;1138.0
1123;Cormoranche-sur-Saône;2022;2324.0;1165.0
1124;Cormoz;2017;2648.0;664.0
1124;Cormoz;2022;3515.0;704.0
1125;Corveissiat;2017;3125.0;621.0
1125;Corveissiat;2022;2384.0;587.0
1127;Courmangoux;2017;2525.0;507.0
1127;Courmangoux;2022;3528.0;513.0
1128;Courtes;2017;1550.0;313.0
1128;Courtes;2022;1485.0;293.0
1129;Crans;2017;1578.0;266.0
1129;Crans;2022;1530.0;316.0
1130;Bresse Vallons;2017;9052.0;2282.0
1130;Bresse Vallons;2022;9520.0;2393.0
1133;Cressin-Rochefort;2017;2358.0;392.0
1133;Cressin-Rochefort;2022;1167.0;384.0
1134;Crottet;2017;6936.0;1734.0
1134;Crottet;2022;3636.0;1844.0
1135;Crozet;2017;10630.0;2138.0
1135;Crozet;2022;6864.0;2354.0
1136;Cruzilles-lès-Mépillat;2017;5985.0;868.0
1136;Cruzilles-lès-Mépillat;2022;4715.0;951.0
1138;Culoz-Béon;2017;21102.0;3035.0
1138;Culoz-Béon;2022;23982.0;3416.0
1139;Curciat-Dongalon;2017;1329.0;440.0
1139;Curciat-Dongalon;2022;3157.0;462.0
1140;Curtafond;2017;4620.0;770.0
1140;Curtafond;2022;3920.0;805.0
1141;Cuzieu;2017;2180.0;448.0
1141;Cuzieu;2022;4330.0;423.0
1142;Dagneux;2017;37648.0;4717.0
1142;Dagneux;2022;42777.0;4741.0
1143;Divonne-les-Bains;2017;56790.0;9644.0
1143;Divonne-les-Bains;2022;101370.0;10300.0
1145;Dompierre-sur-Veyle;2017;9312.0;1166.0
1145;Dompierre-sur-Veyle;2022;7242.0;1225.0
1146;Dompierre-sur-Chalaronne;2017;2586.0;435.0
1146;Dompierre-sur-Chalaronne;2022;2622.0;453.0
1147;Domsure;2017;2898.0;486.0
1147;Domsure;2022;3156.0;540.0
1148;Dortan;2017;9230.0;1846.0
1148;Dortan;2022;7812.0;2013.0
1149;Douvres;2017;7371.0;1041.0
1149;Douvres;2022;3282.0;1108.0
1150;Drom;2017;1953.0;216.0
1150;Drom;2022;2150.0;215.0
1151;Druillat;2017;4628.0;1159.0
1151;Druillat;2022;4556.0;1144.0
1152;Échallon;2017;3800.0;757.0
1152;Échallon;2022;5355.0;774.0
1153;Échenevex;2017;15204.0;2132.0
1153;Échenevex;2022;8508.0;2227.0
1155;Évosges;2017;1305.0;145.0
1155;Évosges;2022;1704.0;143.0
1156;Faramans;2017;4806.0;806.0
1156;Faramans;2022;6139.0;905.0
1157;Fareins;2017;4406.0;2204.0
1157;Fareins;2022;7293.0;2524.0
1158;Farges;2017;2026.0;1038.0
1158;Farges;2022;6348.0;1065.0
1159;Feillens;2017;16270.0;3291.0
1159;Feillens;2022;16905.0;3388.0
1160;Ferney-Voltaire;2017;96370.0;9766.0
1160;Ferney-Voltaire;2022;120120.0;11530.0
1162;Flaxieu;2017;897.0;68.0
1162;Flaxieu;2022;704.0;64.0
1163;Foissiat;2017;8248.0;2085.0
1163;Foissiat;2022;8056.0;2024.0
1165;Francheleins;2017;6296.0;1611.0
1165;Francheleins;2022;9510.0;1593.0
1166;Frans;2017;9336.0;2351.0
1166;Frans;2022;14892.0;2547.0
1167;Garnerans;2017;4578.0;647.0
1167;Garnerans;2022;5922.0;685.0
1169;Genouilleux;2017;3600.0;612.0
1169;Genouilleux;2022;3900.0;675.0
1170;Béard-Géovreissiat;2017;5195.0;1051.0
1170;Béard-Géovreissiat;2022;4192.0;1048.0
1171;Géovreisset;2017;5346.0;874.0
1171;Géovreisset;2022;2505.0;843.0
1173;Gex;2017;139172.0;13118.0
1173;Gex;2022;143858.0;13455.0
1174;Giron;2017;1980.0;183.0
1174;Giron;2022;1760.0;174.0
1175;Gorrevod;2017;2583.0;835.0
1175;Gorrevod;2022;;782.0
1177;Grand-Corent;2017;1740.0;177.0
1177;Grand-Corent;2022;1840.0;186.0
1179;Grièges;2017;5643.0;1876.0
1179;Grièges;2022;7604.0;1909.0
1180;Grilly;2017;4848.0;833.0
1180;Grilly;2022;3456.0;873.0
1181;Groissiat;2017;6115.0;1229.0
1181;Groissiat;2022;4920.0;1216.0
1183;Guéreins;2017;5740.0;1452.0
1183;Guéreins;2022;7475.0;1503.0
1184;Hautecourt-Romanèche;2017;4704.0;777.0
1184;Hautecourt-Romanèche;2022;2274.0;754.0
1185;Plateau d'Hauteville;2017;29070.0;4853.0
1185;Plateau d'Hauteville;2022;19228.0;4790.0
1187;Haut Valromey;2017;2085.0;669.0
1187;Haut Valromey;2022;2436.0;603.0
1188;Illiat;2017;1845.0;627.0
1188;Illiat;2022;2756.0;696.0
1189;Injoux-Génissiat;2017;5735.0;1136.0
1189;Injoux-Génissiat;2022;2246.0;1123.0
1190;Innimond;2017;1176.0;89.0
1190;Innimond;2022;979.0;92.0
1191;Izenave;2017;972.0;156.0
1191;Izenave;2022;1860.0;159.0
1192;Izernore;2017;11285.0;2247.0
1192;Izernore;2022;9068.0;2262.0
1193;Izieu;2017;1210.0;235.0
1193;Izieu;2022;1998.0;223.0
1194;Jassans-Riottier;2017;51128.0;6339.0
1194;Jassans-Riottier;2022;57195.0;6315.0
1195;Jasseron;2017;8810.0;1755.0
1195;Jasseron;2022;7444.0;1900.0
1196;Jayat;2017;4664.0;1182.0
1196;Jayat;2022;3777.0;1276.0
1197;Journans;2017;3195.0;355.0
1197;Journans;2022;3040.0;384.0
1198;Joyeux;2017;2466.0;271.0
1198;Joyeux;2022;2096.0;262.0
1199;Jujurieux;2017;19629.0;2156.0
1199;Jujurieux;2022;8496.0;2209.0
1200;Labalme;2017;1272.0;210.0
1200;Labalme;2022;1260.0;207.0
1202;Lagnieu;2017;63810.0;7143.0
1202;Lagnieu;2022;79948.0;7321.0
1203;Laiz;2017;7278.0;1212.0
1203;Laiz;2022;3897.0;1292.0
1204;Le Poizat-Lalleyriat;2017;1424.0;720.0
1204;Le Poizat-Lalleyriat;2022;3730.0;740.0
1206;Lantenay;2017;2992.0;277.0
1206;Lantenay;2022;2970.0;265.0
1207;Lapeyrouse;2017;2592.0;316.0
1207;Lapeyrouse;2022;2282.0;337.0
1208;Lavours;2017;1270.0;124.0
1208;Lavours;2022;952.0;138.0
1209;Léaz;2017;2157.0;739.0
1209;Léaz;2022;3268.0;887.0
1210;Lélex;2017;1800.0;227.0
1210;Lélex;2022;1150.0;236.0
1211;Lent;2017;7080.0;1405.0
1211;Lent;2022;7040.0;1459.0
1212;Lescheroux;2017;5816.0;735.0
1212;Lescheroux;2022;4284.0;720.0
1213;Leyment;2017;2570.0;1303.0
1213;Leyment;2022;2784.0;1417.0
1214;Leyssard;2017;1989.0;152.0
1214;Leyssard;2022;1467.0;163.0
1215;Surjoux-Lhopital;2017;1134.0;131.0
1215;Surjoux-Lhopital;2022;1551.0;140.0
1216;Lhuis;2017;4450.0;889.0
1216;Lhuis;2022;2676.0;891.0
1219;Lompnas;2017;1690.0;168.0
1219;Lompnas;2022;1467.0;162.0
1224;Loyettes;2017;9435.0;3146.0
1224;Loyettes;2022;23667.0;3468.0
1225;Lurcy;2017;3790.0;384.0
1225;Lurcy;2022;2751.0;404.0
1227;Magnieu;2017;3200.0;644.0
1227;Magnieu;2022;2620.0;651.0
1228;Maillat;2017;3115.0;635.0
1228;Maillat;2022;2716.0;693.0
1229;Malafretaz;2017;7128.0;1216.0
1229;Malafretaz;2022;2428.0;1235.0
1230;Mantenay-Montlin;2017;2480.0;313.0
1230;Mantenay-Montlin;2022;1848.0;320.0
1231;Manziat;2017;7908.0;1963.0
1231;Manziat;2022;3910.0;1985.0
1232;Marboz;2017;11130.0;2244.0
1232;Marboz;2022;9072.0;2262.0
1233;Marchamp;2017;917.0;131.0
1233;Marchamp;2022;1188.0;135.0
1234;Marignieu;2017;1557.0;172.0
1234;Marignieu;2022;1837.0;164.0
1235;Marlieux;2017;3204.0;1112.0
1235;Marlieux;2022;5910.0;1186.0
1236;Marsonnas;2017;5886.0;991.0
1236;Marsonnas;2022;5150.0;1034.0
1237;Martignat;2017;4881.0;1654.0
1237;Martignat;2022;6684.0;1667.0
1238;Massieux;2017;15114.0;2590.0
1238;Massieux;2022;13605.0;2733.0
1239;Massignieu-de-Rives;2017;3065.0;614.0
1239;Massignieu-de-Rives;2022;3852.0;653.0
1240;Matafelon-Granges;2017;1935.0;641.0
1240;Matafelon-Granges;2022;2516.0;630.0
1241;Meillonnas;2017;6660.0;1335.0
1241;Meillonnas;2022;4149.0;1383.0
1242;Mérignat;2017;1386.0;130.0
1242;Mérignat;2022;1360.0;133.0
1243;Messimy-sur-Saône;2017;4840.0;1224.0
1243;Messimy-sur-Saône;2022;7728.0;1312.0
1244;Meximieux;2017;69021.0;7743.0
1244;Meximieux;2022;80850.0;8198.0
1245;Bohas-Meyriat-Rignat;2017;5370.0;913.0
1245;Bohas-Meyriat-Rignat;2022;3860.0;951.0
1246;Mézériat;2017;8536.0;2172.0
1246;Mézériat;2022;6576.0;2179.0
1247;Mijoux;2017;2720.0;341.0
1247;Mijoux;2022;1188.0;297.0
1248;Mionnay;2017;12792.0;2100.0
1248;Mionnay;2022;11135.0;2309.0
1249;Miribel;2017;116904.0;9963.0
1249;Miribel;2022;112475.0;10450.0
1250;Misérieux;2017;9690.0;1941.0
1250;Misérieux;2022;5982.0;2010.0
1252;Mogneneins;2017;3096.0;778.0
1252;Mogneneins;2022;4015.0;824.0
1254;Montagnat;2017;7840.0;1992.0
1254;Montagnat;2022;6435.0;2164.0
1255;Montagnieu;2017;3045.0;622.0
1255;Montagnieu;2022;2664.0;684.0
1257;Montanges;2017;2387.0;344.0
1257;Montanges;2022;2800.0;348.0
1258;Montceaux;2017;3546.0;1195.0
1258;Montceaux;2022;3594.0;1202.0
1259;Montcet;2017;6075.0;691.0
1259;Montcet;2022;3520.0;715.0
1260;Le Montellier;2017;2344.0;297.0
1260;Le Montellier;2022;2233.0;329.0
1261;Monthieux;2017;1944.0;646.0
1261;Monthieux;2022;2046.0;673.0
1262;Montluel;2017;70050.0;6964.0
1262;Montluel;2022;68380.0;6879.0
1263;Montmerle-sur-Saône;2017;19055.0;3793.0
1263;Montmerle-sur-Saône;2022;22752.0;3798.0
1264;Montracol;2017;5260.0;1040.0
1264;Montracol;2022;9072.0;1008.0
1265;Montréal-la-Cluse;2017;20454.0;3435.0
1265;Montréal-la-Cluse;2022;10623.0;3584.0
1266;Montrevel-en-Bresse;2017;17241.0;2489.0
1266;Montrevel-en-Bresse;2022;7734.0;2661.0
1267;Nurieux-Volognat;2017;6180.0;1028.0
1267;Nurieux-Volognat;2022;2970.0;973.0
1268;Murs-et-Gélignieux;2017;1785.0;252.0
1268;Murs-et-Gélignieux;2022;960.0;239.0
1269;Nantua;2017;20892.0;3446.0
1269;Nantua;2022;24143.0;3431.0
1272;Neuville-les-Dames;2017;3010.0;1510.0
1272;Neuville-les-Dames;2022;3030.0;1540.0
1273;Neuville-sur-Ain;2017;10446.0;1756.0
1273;Neuville-sur-Ain;2022;8995.0;1798.0
1274;Les Neyrolles;2017;1908.0;639.0
1274;Les Neyrolles;2022;1896.0;623.0
1275;Neyron;2017;17549.0;2527.0
1275;Neyron;2022;15228.0;2479.0
1276;Niévroz;2017;6308.0;1619.0
1276;Niévroz;2022;4902.0;1648.0
1277;Nivollet-Montgriffon;2017;1180.0;119.0
1277;Nivollet-Montgriffon;2022;1265.0;119.0
1279;Oncieu;2017;846.0;89.0
1279;Oncieu;2022;803.0;72.0
1280;Ordonnaz;2017;1314.0;141.0
1280;Ordonnaz;2022;987.0;146.0
1281;Ornex;2017;30800.0;4410.0
1281;Ornex;2022;28140.0;4903.0
1282;Outriaz;2017;1827.0;260.0
1282;Outriaz;2022;3060.0;258.0
1283;Oyonnax;2017;293267.0;22427.0
1283;Oyonnax;2022;267324.0;22378.0
1284;Ozan;2017;2696.0;686.0
1284;Ozan;2022;3625.0;721.0
1285;Parcieux;2017;5940.0;1206.0
1285;Parcieux;2022;3957.0;1317.0
1286;Parves et Nattages;2017;8433.0;942.0
1286;Parves et Nattages;2022;5730.0;943.0
1288;Péron;2017;12920.0;2620.0
1288;Péron;2022;11352.0;2900.0
1289;Péronnas;2017;37722.0;6385.0
1289;Péronnas;2022;45136.0;6437.0
1290;Pérouges;2017;6025.0;1201.0
1290;Pérouges;2022;6730.0;1382.0
1291;Perrex;2017;3296.0;838.0
1291;Perrex;2022;4260.0;861.0
1293;Peyriat;2017;1312.0;157.0
1293;Peyriat;2022;1480.0;150.0
1294;Peyrieu;2017;2586.0;873.0
1294;Peyrieu;2022;3632.0;918.0
1295;Peyzieux-sur-Saône;2017;4641.0;661.0
1295;Peyzieux-sur-Saône;2022;2664.0;656.0
1296;Pirajoux;2017;2723.0;408.0
1296;Pirajoux;2022;3256.0;400.0
1297;Pizay;2017;5572.0;820.0
1297;Pizay;2022;4570.0;922.0
1298;Plagne;2017;1107.0;132.0
1298;Plagne;2022;2093.0;166.0
1299;Le Plantay;2017;4424.0;564.0
1299;Le Plantay;2022;3474.0;569.0
1301;Polliat;2017;10016.0;2511.0
1301;Polliat;2022;5296.0;2694.0
1302;Pollieu;2017;1932.0;159.0
1302;Pollieu;2022;1512.0;167.0
1303;Poncin;2017;8480.0;1703.0
1303;Poncin;2022;6916.0;1766.0
1304;Pont-d'Ain;2017;23312.0;2964.0
1304;Pont-d'Ain;2022;22968.0;2862.0
1305;Pont-de-Vaux;2017;13740.0;2258.0
1305;Pont-de-Vaux;2022;10945.0;2184.0
1306;Pont-de-Veyle;2017;4854.0;1625.0
1306;Pont-de-Veyle;2022;4887.0;1600.0
1307;Port;2017;3420.0;849.0
1307;Port;2022;1686.0;843.0
1308;Pougny;2017;3260.0;812.0
1308;Pougny;2022;2388.0;792.0
1309;Pouillat;2017;990.0;88.0
1309;Pouillat;2022;1053.0;79.0
1310;Prémeyzel;2017;1976.0;248.0
1310;Prémeyzel;2022;1729.0;245.0
1311;Prémillieu;2017;644.0;45.0
1311;Prémillieu;2022;484.0;47.0
1313;Prévessin-Moëns;2017;79910.0;8233.0
1313;Prévessin-Moëns;2022;72504.0;9081.0
1314;Priay;2017;6828.0;1729.0
1314;Priay;2022;7056.0;1803.0
1317;Ramasse;2017;3210.0;324.0
1317;Ramasse;2022;3641.0;332.0
1318;Rancé;2017;2908.0;727.0
1318;Rancé;2022;4446.0;760.0
1319;Relevant;2017;3241.0;463.0
1319;Relevant;2022;4670.0;467.0
1320;Replonges;2017;11106.0;3717.0
1320;Replonges;2022;19495.0;3929.0
1321;Revonnas;2017;3684.0;905.0
1321;Revonnas;2022;3584.0;905.0
1322;Reyrieux;2017;23350.0;4797.0
1322;Reyrieux;2022;30588.0;5228.0
1323;Reyssouze;2017;2925.0;980.0
1323;Reyssouze;2022;1010.0;1003.0
1325;Rignieux-le-Franc;2017;1952.0;971.0
1325;Rignieux-le-Franc;2022;4392.0;1131.0
1328;Romans;2017;2970.0;590.0
1328;Romans;2022;3702.0;628.0
1329;Rossillon;2017;918.0;151.0
1329;Rossillon;2022;1440.0;164.0
1330;Ruffieu;2017;1288.0;186.0
1330;Ruffieu;2022;1770.0;174.0
1331;Saint-Alban;2017;1432.0;178.0
1331;Saint-Alban;2022;960.0;195.0
1332;Saint-André-de-Bâgé;2017;2968.0;751.0
1332;Saint-André-de-Bâgé;2022;4854.0;819.0
1333;Saint-André-de-Corcy;2017;25928.0;3354.0
1333;Saint-André-de-Corcy;2022;13472.0;3369.0
