CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
67276;1463;281;45;403;269;231;118;115
67277;621;119;26;216;116;79;40;27
67278;442;101;18;190;63;37;20;12
67279;178;36;4;60;36;26;14;2
67280;623;126;24;228;103;98;28;16
67281;3280;731;143;1073;574;377;209;172
67282;3189;522;125;1007;560;415;269;291
67283;2032;371;62;663;355;268;170;143
67285;1137;144;29;364;224;173;108;96
67286;1159;215;33;438;204;125;78;66
67287;422;74;10;143;84;54;29;29
67288;266;49;6;96;60;34;17;4
67289;481;83;14;164;80;78;40;22
67290;725;147;27;290;117;70;37;37
67291;2605;679;93;1031;381;250;93;78
67292;516;99;17;190;92;69;31;17
67293;519;101;14;161;101;81;32;29
67295;479;53;16;120;96;82;62;50
67296;1658;117;52;312;293;260;224;401
67298;429;48;17;137;92;63;35;35
67299;698;76;26;192;119;131;85;69
67300;7177;1371;263;2043;1231;872;634;763
67301;1773;246;48;541;336;264;195;142
67302;1517;334;74;511;224;181;108;85
67303;539;134;12;180;97;53;40;23
67304;462;55;15;156;102;63;40;31
67305;1546;333;62;558;288;149;76;80
67306;497;63;10;165;92;78;55;34
67307;324;58;12;113;66;32;25;19
67308;619;108;21;246;108;57;50;29
67309;3861;402;142;1036;695;567;456;561
67310;881;145;14;294;157;121;84;65
67311;1640;269;49;515;290;231;152;134
67312;352;57;10;120;67;40;30;27
67313;4569;1004;215;1250;955;543;331;272
67314;425;90;24;159;70;39;23;20
67315;516;99;19;155;108;59;36;40
67317;499;66;11;157;78;86;49;51
67319;313;64;12;110;57;38;14;18
67320;485;107;14;132;86;72;44;31
67321;271;53;7;97;37;36;26;14
67322;866;127;27;333;157;111;63;47
67324;3533;780;120;1271;561;376;242;184
67325;1011;163;30;355;197;127;68;71
67326;1275;123;36;311;224;171;167;242
67327;772;147;30;267;141;80;52;56
67328;637;102;19;239;118;80;57;21
67329;966;127;31;330;174;139;80;84
67330;733;121;26;265;163;82;42;34
67331;1064;173;25;387;186;140;80;73
67333;216;38;16;63;34;40;16;7
67334;101;31;3;35;16;9;4;3
67335;714;91;17;207;125;98;92;83
67336;1299;179;35;473;219;171;112;109
67337;346;57;6;119;67;39;25;34
67338;1084;211;28;388;184;136;84;53
67339;3275;775;127;1209;540;303;190;132
67340;1170;275;46;412;169;135;78;56
67341;308;63;9;129;52;27;18;11
67342;1341;199;38;423;245;177;126;133
67343;4246;458;133;830;693;746;548;838
67344;247;35;7;101;34;33;21;16
67345;2878;472;78;936;583;392;239;178
67346;441;90;12;132;110;52;24;21
67347;1328;211;47;418;247;175;135;94
67348;9528;1785;362;2616;1645;1138;950;1032
67349;410;74;13;171;73;44;20;15
67350;1985;261;61;601;342;318;201;203
67351;1320;258;39;450;240;152;99;82
67352;307;67;11;128;46;37;9;9
67353;193;28;10;58;42;15;21;19
67354;396;45;12;107;62;70;41;59
67355;942;322;28;318;132;68;48;26
67356;1864;312;46;603;284;256;184;178
67358;642;162;21;240;102;70;27;21
67359;1050;184;22;388;173;146;81;56
67360;825;125;20;273;174;135;59;39
67361;386;44;7;112;68;53;47;55
67362;476;75;11;122;90;68;47;62
67363;602;66;16;190;94;93;60;83
67364;734;137;32;244;116;112;52;41
67365;9502;1590;433;2618;1674;1060;1001;1126
67366;627;80;25;188;105;99;54;77
67367;1022;164;31;309;197;145;99;78
67368;1248;138;40;404;241;174;127;125
67369;194;31;8;59;44;20;16;15
67370;519;115;16;203;90;49;29;16
67371;515;118;27;157;61;61;53;38
67372;3872;903;128;1364;606;447;263;161
67373;243;56;7;68;58;29;13;11
67375;961;74;32;222;186;154;129;165
67377;763;151;29;276;137;84;43;43
67378;3370;460;89;1043;561;461;345;410
67379;690;163;17;259;125;61;42;24
67380;160;35;4;63;26;15;10;8
67381;271;54;15;126;36;19;15;4
67382;604;75;15;170;106;86;65;87
67383;145;29;1;42;27;20;14;13
67384;262;56;7;96;30;34;24;16
67385;192;56;4;51;31;19;22;9
67386;168;34;8;48;36;19;11;11
67387;241;32;7;82;47;29;25;20
67388;4168;977;182;1553;706;378;230;141
67389;3406;551;146;1177;534;418;285;296
67391;346;39;9;132;63;40;33;30
67392;660;193;33;263;77;49;28;18
67394;218;47;7;78;47;23;12;4
67395;300;56;5;88;65;47;18;21
67396;150;25;8;51;33;20;9;4
67397;2095;411;90;776;355;243;133;87
67398;284;60;12;108;60;28;7;9
67400;859;184;24;313;155;88;57;38
67401;219;42;9;80;42;23;20;4
