CodeCommune;NomCommune;Pop2017;Pop2022
38310;Poliénas;1188;1114
38311;Pommier-de-Beaurepaire;704;731
38313;Ponsonnas;291;289
38315;Le Pont-de-Beauvoisin;3630;3582
38316;Pont-de-Chéruy;5772;6107
38317;Le Pont-de-Claix;10435;10846
38319;Pont-en-Royans;774;809
38318;Pont-Évêque;5210;5843
38314;Pontcharra;7344;7373
38320;Porcieu-Amblagnieu;1766;1792
38479;Porte-des-Bonnevaux;2015;2085
38321;Prébois;164;172
38322;Presles;87;100
38323;Pressins;1156;1181
38324;Primarette;720;694
38325;Proveysieux;507;519
38326;Prunières;355;378
38328;Quaix-en-Chartreuse;893;926
38329;Quet-en-Beaumont;67;79
38330;Quincieu;103;105
38331;Réaumont;1021;1005
38332;Renage;3507;3361
38333;Rencurel;322;349
38334;Revel;1314;1323
38335;Revel-Tourdan;1053;1050
38336;Reventin-Vaugris;1909;2042
38337;Rives;6476;6599
38338;La Rivière;747;725
38339;Roche;2083;2189
38340;Les Roches-de-Condrieu;1925;2031
38341;Rochetoirin;1116;1102
38342;Roissard;306;320
38343;Romagnieu;1580;1732
38344;Roussillon;8455;8584
38345;Rovon;609;613
38346;Royas;396;410
38347;Roybon;1157;1103
38348;Ruy-Montceau;4529;4771
38349;Sablons;2309;2306
38351;Saint-Agnin-sur-Bion;1043;1161
38352;Saint-Alban-de-Roche;1982;2148
38353;Saint-Alban-du-Rhône;842;960
38354;Saint-Albin-de-Vaulserre;405;421
38355;Saint-Andéol;122;119
38356;Saint-André-en-Royans;315;341
38357;Saint-André-le-Gaz;2793;2726
38359;Saint Antoine l'Abbaye;1155;1258
38360;Saint-Appolinard;409;403
38361;Saint-Arey;84;73
38362;Saint-Aupre;1137;1200
38363;Saint-Barthélemy;941;929
38364;Saint-Barthélemy-de-Séchilienne;433;424
38365;Saint-Baudille-de-la-Tour;814;842
38366;Saint-Baudille-et-Pipet;257;258
38368;Saint-Blaise-du-Buis;1062;1064
38370;Saint-Bonnet-de-Chavagne;634;659
38372;Saint-Bueil;723;707
38373;Saint-Cassien;1162;1156
38374;Saint-Chef;3585;3910
38375;Saint-Christophe-en-Oisans;107;98
38376;Saint-Christophe-sur-Guiers;838;836
38377;Saint-Clair-de-la-Tour;3424;3526
38378;Saint-Clair-du-Rhône;3817;3678
38379;Saint-Clair-sur-Galaure;282;261
38380;Saint-Didier-de-Bizonnes;302;330
38381;Saint-Didier-de-la-Tour;2045;2125
38382;Saint-Égrève;15838;17930
38383;Saint-Étienne-de-Crossey;2542;2603
38384;Saint-Étienne-de-Saint-Geoirs;3225;3352
38386;Saint-Geoire-en-Valdaine;2399;2388
38387;Saint-Geoirs;516;487
38389;Saint-Georges-d'Espéranche;3354;3500
38388;Saint-Georges-de-Commiers;2276;2691
38390;Saint-Gervais;549;534
38391;Saint-Guillaume;258;239
38392;Saint-Hilaire-de-Brens;636;605
38393;Saint-Hilaire-de-la-Côte;1504;1598
38394;Saint-Hilaire-du-Rosier;1886;1934
38396;Saint-Honoré;814;819
38397;Saint-Ismier;6966;7087
38398;Saint-Jean-d'Avelanne;966;979
38403;Saint-Jean-d'Hérans;288;308
38399;Saint-Jean-de-Bournay;4594;4762
38400;Saint-Jean-de-Moirans;3536;3601
38401;Saint-Jean-de-Soudain;1585;1698
